,indirizzo_check
460,INGANNI ANGELO
461,KORISTKA FRANCESCO
462,KRAMER ANTONIO
463,LAGRANGE GIUSEPPE
464,LAMARMORA ALFONSO
465,LARIO
466,LASSALLE FERDINANDO
467,LAZZARETTO
468,LECCO
469,LEGNONE
470,LENTASIO
471,LEOPARDI GIACOMO
472,LESSONA MICHELE
473,LESSONA MICHELE
474,LODOVICO IL MORO
475,LOMAZZO PAOLO
476,LOMELLINA
477,LOMELLINA
478,LOMELLINA
479,LONGHENA BALDASSARE
480,LORENTEGGIO
481,LORENTEGGIO
482,LORENTEGGIO
483,LORENTEGGIO
484,LORENZO DI CREDI
485,LOSANNA
486,LULLI GIOVANNI
488,MAC MAHON
487,MAC MAHON
489,MAC MAHON
490,MAC MAHON
491,MAC MAHON
492,MADERNA BRUNO
493,
494,MAMBRETTI ANTONIO
495,MAMELI GOFFREDO
496,MANZONI ALESSANDRO
497,MARCELLO BENEDETTO
498,MARCO AURELIO
499,MARCO D'AGRATE
500,MARSALA
501,MARSALA
502,MARTIRI TRIESTINI
503,MASOLINO DA PANICALE
504,MASOTTO UMBERTO
505,MASSARA DE CAPITANI
506,MECENATE
507,MEDA GIUSEPPE
508,MEDA GIUSEPPE
509,MEDA GIUSEPPE
510,MEDA GIUSEPPE
511,MEDA GIUSEPPE
512,MEDA GIUSEPPE
513,MEDEGHINO
514,MESSINA
515,MESSINA
516,MESSINA
517,MESSINA
518,MESTRE
519,MEUCCI ANTONIO
520,MEUCCI ANTONIO
521,MILLY MIGNONE CARLA
522,MONTE CENGIO
523,MONTEGANI LODOVICO
524,MONTEGANI LODOVICO
525,MONTEGANI LODOVICO
527,MONTI VINCENZO
526,MONTI VINCENZO
528,MONTI VINCENZO
529,MORGANTINI MARIO
530,MURAT GIOACCHINO
531,MURAT GIOACCHINO
532,MURATORI LODOVICO
533,MUSSI GIUSEPPE
534,NEGROLI
535,NEGROLI
536,NIKOLAJEVKA
537,NOVARA
538,NOVARA
539,NOVARA
540,ORNATO LUIGI
541,ORNATO LUIGI
542,ORNATO LUIGI
543,OSOPPO
544,OZANAM FEDERICO
545,PACINI GIOVANNI
546,PACINI GIOVANNI
547,PADOVA
548,PADOVA
549,PADOVA
550,PADOVA
551,PADOVA
552,PADOVA
553,PADOVA
554,PADOVA
556,PADOVA
555,PADOVA
557,PADOVA
558,PADOVA
559,PADOVA
560,PADOVA
561,PADOVA
562,PADOVA
563,PAGLIANO ELEUTERIO
564,PAISIELLO GIOVANNI
565,PALAZZI LAZZARO
566,PALAZZI LAZZARO
567,PALAZZI LAZZARO
568,PALMA JACOPO
569,PALMANOVA
570,PARACELSO FILIPPO
571,PARAVIA PIER ALESSANDRO
572,PASCARELLA CESARE
573,PECCHIO GIUSEPPE
574,PECCHIO GIUSEPPE
575,PEZZOTTI GIOVANNI
576,PIERO DELLA FRANCESCA
577,
578,PIRANDELLO LUIGI
580,PISANELLO
579,PISANELLO
582,PLANA GIOVANNI ANTONIO
581,PLANA GIOVANNI ANTONIO
583,PLANA GIOVANNI ANTONIO
584,PLANA GIOVANNI ANTONIO
585,PLINIO CAIO SECONDO
586,PLINIO CAIO SECONDO
587,POLA
588,POLESINE
589,POLESINE
590,POLESINE
591,POLESINE
592,POLESINE
593,POLIZIANO
594,POLIZIANO
595,PONTE SEVESO
596,PONTE SEVESO
597,PONTE VECCHIO
598,PORDENONE
599,PORPORA NICOLA ANTONIO
600,PORPORA NICOLA ANTONIO
601,PRIMATICCIO FRANCESCO
602,PRIMATICCIO FRANCESCO
603,PURICELLI GIAN PIETRO
604,QUADRIO MAURIZIO
605,REMBRANDT
606,RESEGONE
607,RICCARDI PADRE PLACIDO
608,RICCIARELLI DANIELE
609,RICCIARELLI DANIELE
610,RICORDI GIOVANNI
611,RIPAMONTI GIUSEPPE
612,RIPAMONTI GIUSEPPE
613,RIPAMONTI GIUSEPPE
614,RIPAMONTI GIUSEPPE
617,RISMONDO FRANCESCO
615,RISMONDO FRANCESCO
616,RISMONDO FRANCESCO
618,RISMONDO FRANCESCO
619,RIVOLI
620,ROGGIA SCAGNA
621,ROMAGNOSI GIAN DOMENICO
622,ROMANO GIULIO
623,ROMANO GIULIO
624,ROMBON
625,ROMBON
626,ROMILLI ARCIVESCOVO
627,ROSSI PELLEGRINO
628,ROSSI PELLEGRINO
629,ROSSI PELLEGRINO
630,SALIERI ANTONIO
631,SALMINI VITTORIO
632,SALUTATI COLUCCIO
634,SAN FAUSTINO
638,SAN VINCENZO
633,SAND GEORGE
636,SANT' ANTONIO
635,SANTA MARIA SEGRETA
637,SANTA RITA DA CASCIA
639,
640,SARPI FRA' PAOLO
641,SARPI FRA' PAOLO
642,SARPI FRA' PAOLO
644,SARPI FRA' PAOLO
643,SARPI FRA' PAOLO
645,SEBASTIANO DEL PIOMBO
646,SERAO MATILDE
647,SMAREGLIA ANTONIO
648,SODERINI LUIGI
649,SOLARI ANDREA
650,SOLARI ANDREA
651,
652,SOLAROLI PAOLO
653,SOLFERINO
654,SOLFERINO
655,SONNINO SIDNEY
656,SPARTACO
657,SPARTACO
658,SPONTINI GASPARE
659,STATUTO
660,STATUTO
661,STOPPANI ANTONIO
662,STRAMBIO GAETANO
663,STRIGELLI GAETANO
664,TADINO ALESSANDRO
665,TADINO ALESSANDRO
666,TANTARDINI ANTONIO
667,TAORMINA
668,
669,TEANO
670,TELLINI ENRICO
671,TENCA CARLO
672,TEODOSIO
673,TEODOSIO
674,TEODOSIO
675,TERRUGGIA GIOVANNI
676,TESSA DELIO
677,TITO LIVIO
678,TITO LIVIO
679,TITO LIVIO
680,TITO LIVIO
681,TORRICELLI EVANGELISTA
682,TRINCEA DELLE FRASCHE
683,VAL DI LEDRO
687,VAL MAIRA
684,VALFURVA
685,VALFURVA
686,VALLAZZE
688,VARE' GIOVANNI BATTISTA
689,VARESE
690,VARESINA
691,VEGLIA
692,VENINI GIULIO E CORRADO
693,
694,VERDI GIUSEPPE
695,VERRAZZANO GIOVANNI
696,VETERE
697,VETTABBIA
698,VIGEVANO
699,VIMINALE
700,VIPACCO
701,
702,VITRUVIO
703,VITRUVIO
704,VITRUVIO
705,VITRUVIO
706,VITTADINI CARLO
707,VITTORINI ELIO
708,VOLTA ALESSANDRO
709,VOLVINIO
710,VOLVINIO
711,VOLVINIO
712,VOLVINIO
713,WASHINGTON GIORGIO
714,WASHINGTON GIORGIO
715,WATT GIACOMO
716,ZAMBALDI SILVIO
717,ZANELLA GIACOMO
718,
719,ZANTE
720,
721,ZURIGO
722,DELLA ROBBIA LUCA
723,ABRUZZI
724,ARGONNE
725,ARGONNE
726,ARGONNE
727,BACCHIGLIONE
728,BIANCA MARIA
729,BLIGNY
730,BRENTA
731,CA' GRANDA
732,CALDARA EMILIO
733,CAMPANIA
734,CASSALA
735,CERTOSA
736,CERTOSA
737,CERTOSA
738,COL DI LANA
739,COL DI LANA
740,CORSICA
741,DORIA ANDREA
742,DORIA ANDREA
743,FAMAGOSTA
744,
745,
746,GIOVANNI DA CERMENATE
747,GRAN SASSO
748,JENNER EDOARDO
749,LAZIO
750,LEGIONI ROMANE
751,LOMBARDIA
752,LUNIGIANA
753,LUNIGIANA
754,MARTINI ENRICO
755,MOLISE
756,MONTE CENERI
757,MONTE CENERI
758,MONTE CENERI
761,MONTE NERO
763,MONTE NERO
762,MONTE NERO
759,MONTELLO
760,MONTELLO
764,MONZA
765,MONZA
767,MONZA
766,MONZA
768,MONZA
769,MONZA
770,MONZA
771,ORIONE DON LUIGI
772,PASUBIO
773,PIAVE
774,PIAVE
775,PICENO
776,PISA
777,PISA
778,RAPISARDI MARIO
779,ROMAGNA
780,SABOTINO
781,SABOTINO
782,SAN MICHELE DEL CARSO
783,SARCA
784,SARCA
785,SAURO NAZARIO
786,SUZZANI GIOVANNI
787,TESTI FULVIO
788,TROYA CARLO
789,UMBRIA
790,UNGHERIA
791,ZARA
792,ZARA
793,SANTA MARIA VALLE
210,
243,
803,CONCORDIA
804,DI PORTA VITTORIA
805,DI PORTA VITTORIA
806,GARIBALDI GIUSEPPE
807,GARIBALDI GIUSEPPE
808,
809,MONFORTE
810,SAN GOTTARDO
811,SEMPIONE
812,SEMPIONE
813,AMADEO GIAN ANTONIO
814,BALBO CESARE
815,BENELLI SEM
816,BERGAMO
817,BIONDI EZIO
818,BROLETTO
819,BROLETTO
820,BUGATTI ETTORE
821,CENISIO
822,CENISIO
823,CERVA
824,COL MOSCHIN
825,COLONNA VITTORIA
826,COLONNA VITTORIA
827,CONTE VERDE
828,DE FILIPPI FILIPPO
831,F.LLI RUFFINI
829,FARINI CARLO
830,FAUCHE' GIOVANNI BATTISTA
832,GALLURA
833,GIAMBELLINO
834,LARGA
835,LOSANNA
836,MADONNINA
837,MANZONI ALESSANDRO
838,MARGHERA
839,MAURI ACHILLE
840,MAZZINI GIUSEPPE
841,MEDA GIUSEPPE
842,MONTI VINCENZO
843,MONTI VINCENZO
844,PACINI GIOVANNI
845,PADOVA
846,PONTE VETERO
847,RAVIZZA CARLO
848,REMBRANDT
849,ROVELLO
850,SAN MARCO
851,SANTA CROCE
853,SANTA SOFIA
852,SANTA SOFIA
854,SARDEGNA
855,SETTEMBRINI LUIGI
856,STATUTO
857,TALLONE CESARE
858,TERRAGGIO
859,TRAIANO MARCO ULPIO
860,VILLORESI EUGENIO
861,WASHINGTON GIORGIO
862,CASSIODORO
863,CERTOSA
864,
865,ROMAGNA
866,TUNISIA
867,VIGLIANI PAOLO ONORATO
869,COLOMBO CRISTOFORO
870,ITALIA
871,SAN GOTTARDO
872,UNIONE
873,SIENA
874,GASPARRI PIETRO
875,OBERDAN GUGLIELMO
876,SANT' AGOSTINO
877,ADRIANO PUBLIO ELIO
878,
879,
880,
881,BORDIGHERA
882,CELLINI BENVENUTO
883,CORRENTI CESARE
884,COSTA ANDREA
885,DE AMICIS EDMONDO
891,DE PRETIS AGOSTINO
892,DE RUGGIERO GUIDO
886,DEI TULIPANI
887,DELLA CAPINERA
888,
889,DELLE BETULLE
890,DELLE BETULLE
893,DONATELLO
894,
895,
896,GROSSI TOMMASO
897,MAC MAHON
898,MAFFEI ANDREA
899,MANTEGNA ANDREA
900,MARX CARLO
901,MECENATE
902,MINTURNO
903,
904,MONTE ROSA
905,MONTI VINCENZO
906,MORTARA
907,MOSCA ANTONIO
908,ORGANDINO GIUSEPPE
909,PACINI GIOVANNI
910,PALMANOVA
911,PARMIGIANINO
912,PERINI CARLO
913,PIRELLI GIOVANNI BATTISTA
914,RESSI ADEODATO
915,SAPONARO MICHELE
916,SPONTINI GASPARE
917,VIGEVANO
918,VITRUVIO
919,VOLTA ALESSANDRO
920,BEZZI ERGISTO
921,BLIGNY
922,LOMBARDIA
923,MONTE NERO
924,UMBRIA
794,DELLA MOSCOVA
795,POMPONAZZI PIETRO
796,WASHINGTON GIORGIO
797,BOLIVAR SIMONE
798,DURINI
31,BUENOS AIRES
32,
34,DI PORTA NUOVA
35,DI PORTA VITTORIA
36,DI PORTA VITTORIA
37,GARIBALDI GIUSEPPE
38,GARIBALDI GIUSEPPE
39,ITALIA
40,LODI
41,LODI
42,PLEBISCITI
43,VENTIDUE MARZO
44,VERCELLI
45,DUOMO
46,F.LLI ZAVATTARI
47,LAGOSTA
48,ANGILBERTO II
49,ASPARI DOMENICO
50,BOLIVAR SIMONE
51,BOLIVAR SIMONE
52,CHIARADIA ENRICO
53,DE ANGELI ERNESTO
54,DE ANGELI ERNESTO
55,DELLA REPUBBLICA
56,OSPEDALE MAGGIORE
57,PREALPI
58,RISORGIMENTO
59,ALTAMURA SAVERIO
60,AMADEO GIAN ANTONIO
61,ARBE
62,ARCHIMEDE
63,ARNOLFO DI CAMBIO
64,ASTESANI ALESSANDRO
65,BERGAMO
66,BERGAMO
67,BERGOGNONE AMBROGIO DA FOSSANO
68,BONGHI RUGGERO
70,BORSI GIOSUE'
69,BORSI GIOSUE'
71,BOSCOVICH RUGGERO
72,BOTTESINI GIOVANNI
73,BRUZZESI GIACINTO
74,BUSCHI AVERARDO
75,CACCIATORI BENEDETTO
76,CADORE
77,CAPECELATRO ALFONSO
78,CAPPELLINI ALFREDO
79,CASORETTO
80,CASTALDI PANFILO
81,CELIO
82,CESARIANO CESARE
83,CIVITALI MATTEO
84,COLLETTA PIETRO
85,CONSOLE MARCELLO
86,COPERNICO NICOLO'
87,CORREGGIO
88,CORREGGIO
89,CRESPI PIETRO
90,CRESPI PIETRO
91,CUSANI
92,DARWIN CARLO ROBERTO
93,DE AMICIS EDMONDO
94,DE CRISTOFORIS CARLO
99,DE PRETIS AGOSTINO
98,DEL RICORDO
95,DELLA MOSCOVA
96,DELLE FORZE ARMATE
97,DELLE FORZE ARMATE
100,DOGANA
101,DRAGO MARIA
102,FARINI CARLO
103,FILZI FABIO
104,FRIULI
105,GAFFURIO FRANCHINO
106,GESSI ROMOLO
107,GIAMBELLINO
108,GIAMBELLINO
109,GIOIA MELCHIORRE
110,IMBONATI CARLO
111,ISIMBARDI INNOCENZO
112,LARIO
113,LEPETIT ROBERTO
114,LESSONA MICHELE
115,LIVIGNO
116,LODOVICO IL MORO
117,LORENTEGGIO
118,MANTOVA
119,MANTOVA
120,MARCONA
121,MASCHERONI LORENZO
122,MASOLINO DA PANICALE
123,MASOTTO UMBERTO
124,MEDA GIUSEPPE
125,MEDA GIUSEPPE
126,MELZO
127,MERLO CARLO GIUSEPPE
128,MEUCCI ANTONIO
129,MILLELIRE DOMENICO
130,MILLELIRE DOMENICO
131,MONTE CENGIO
132,MONTE GENEROSO
133,MONTE OLIVETO
134,MORIGI
135,NERINO
136,ORSINI VINCENZO GIORDANO
137,PALIZZI FILIPPO
138,PALMA JACOPO
139,PAMPURI FRA' RICCARDO
140,PARAVIA PIER ALESSANDRO
141,PARINI GIUSEPPE
142,PASCOLI GIOVANNI
143,PAULUCCI DI CALBOLI FULCIERI
144,PAVIA
145,PECCHIO GIUSEPPE
147,PETROCCHI POLICARPO
146,PETROCCHI POLICARPO
148,PEZZOTTI GIOVANNI
149,PIERI MARIO
150,PIERLUIGI GIOVANNI DA PALESTRINA
151,PIRANO
152,PLINIO CAIO SECONDO
153,PONTE SEVESO
154,PORPORA NICOLA ANTONIO
155,PRINA GIUSEPPE
156,PRINCIPE EUGENIO
157,PRINCIPE EUGENIO
158,PULCI LUIGI
159,QUARENGHI GIACOMO
160,REMBRANDT
161,RIPAMONTI GIUSEPPE
162,RONCHI
163,RUBENS PIETRO
171,S. GIOV. SUL MURO
172,S. GIOV. SUL MURO
164,SALA DEI LONGOBARDI
165,SAN GREGORIO
166,SAN LUCA
170,SAN VINCENZO
168,SANT' EUFEMIA
167,SANTA RITA DA CASCIA
169,SANTISSIMI NABORE E FELICE
173,SOLARI ANDREA
174,TARAMELLI TORQUATO
175,TARRA GIULIO
176,TARRA GIULIO
177,TARTINI GIUSEPPE
178,TRAIANO MARCO ULPIO
179,TRIESTE
180,TRIVULZIO ANTONIO TOLOMEO
181,VAL DI BONDO
182,VAL TROMPIA
183,VARESINA
184,VITRUVIO
185,VIVIANI VINCENZO
186,WASHINGTON GIORGIO
187,WASHINGTON GIORGIO
188,ZECCA VECCHIA
189,BEATRICE D'ESTE
190,CERTOSA
191,D'ANNUNZIO GABRIELE
192,DELLE RIMEMBRANZE DI GRECO
193,DORIA ANDREA
194,FAMAGOSTA
195,MONTE CENERI
196,PIAVE
197,REGINA GIOVANNA
198,REGINA GIOVANNA
199,REGINA MARGHERITA
200,SABOTINO
201,STELVIO
202,TESTI FULVIO
203,TROYA CARLO
204,UMBRIA
205,UMBRIA
206,UMBRIA
207,VITTORIO VENETO
799,BUENOS AIRES
800,DEGLI OMENONI
801,MONTEGANI LODOVICO
802,RENZO E LUCIA
868,MONZA
925,VENEZIA
926,PERRUCCHETTI GIUSEPPE
927,SAINT BON SIMONE
928,COL DI LANA
929,LIMA
930,CIVITALI MATTEO
931,DEI VALTORTA
932,DOGANA
933,LECCO
934,LODOVICO IL MORO
935,MANZONI ALESSANDRO
936,MODESTINO
937,MORAZZONE
938,OZANAM FEDERICO
939,PADOVA
940,POGGIBONSI
941,POLONIA
942,PONTE SEVESO
943,REMBRANDT
944,RIPAMONTI GIUSEPPE
945,STAMIRA D'ANCONA
946,STAZIO CECILIO
947,VALLA LORENZO
948,ARETUSA
949,BIANCA MARIA
950,BLIGNY
951,LEGIONI ROMANE
952,LOMBARDIA
953,STELVIO
954,EMO ANGELO
955,INDIPENDENZA
956,LODI
957,LAGOSTA
958,CARTAGINE
959,SEI FEBBRAIO
960,DI PTA TICINESE
961,ALCUINO
962,AMADEO GIAN ANTONIO
963,AMPERE ANDREA MARIA
964,ANSELMO DA BAGGIO
965,AOSTA
966,ARIMONDI GIUSEPPE
967,ARNOLFO DI CAMBIO
968,ASELLI GASPARE
969,ASTESANI ALESSANDRO
970,BENADIR
971,BIGLI
972,BIXIO NINO
973,BRENO
974,BRIOSCHI FRANCESCO
975,BRUSUGLIO
976,CARDUCCI GIOSUE'
977,CASARSA
978,CASCINA BAROCCO
979,CASELLA GIOVANNI BATTISTA
980,CASTEL MORRONE
981,CENISIO
982,CENISIO
983,CERVIGNANO
984,CIVITALI MATTEO
985,CRESCENZAGO
986,CUSTODI PIETRO
992,DE SANCTIS FRANCESCO
987,DEL DON
990,DEL RICORDO
991,DEL TURCHINO
988,DELLA CHIESA ROSSA
989,DELLA TORRE
993,EDOLO
994,FAA' DI BRUNO EMILIO
995,FANFULLA DA LODI
996,FARINI CARLO
997,FARINI CARLO
998,FAUCHE' GIOVANNI BATTISTA
999,FERRARI GAUDENZIO
1000,FILZI FABIO
1001,FIUGGI
1002,FRIULI
1003,GALLARATE
1004,GIAMBELLINO
1005,GIAMBELLINO
1006,GIAMBELLINO
1007,GLUCK CRISTOFORO
1008,INAMA VIRGILIO
1009,LAZZARETTO
1010,LECCO
1011,LECCO
1012,LEONCAVALLO RUGGERO
1013,LEPETIT ROBERTO
1014,LEPONTINA
1015,LIVIGNO
1016,LOMELLINA
1017,LULLI GIOVANNI
1018,MADERNA BRUNO
1019,MARCELLO BENEDETTO
1020,MARCO D'AGRATE
1021,MARONCELLI PIETRO
1022,MEDA GIUSEPPE
1023,MENABREA LUIGI FEDERICO
1024,MENOTTI CIRO
1025,MEUCCI ANTONIO
1026,MONTEVIDEO
1027,MURATORI LODOVICO
1028,NICCOLINI GIOVANNI BATTISTA
1029,NOVARA
1030,PACINI GIOVANNI
1031,PACINOTTI FRA' ANTONIO
1032,PADOVA
1033,PADOVA
1034,PALLADIO ANDREA
1035,PALMANOVA
1036,PALMANOVA
1037,PERGOLESI GIOVANNI BATTISTA
1038,PETRELLA ERRICO
1039,PETROCCHI POLICARPO
1040,PIERLUIGI GIOVANNI DA PALESTRINA
1041,PISTRUCCI SCIPIONE
1043,PLINIO CAIO SECONDO
1042,PLINIO CAIO SECONDO
1044,PORRO LAMBERTENGHI LUIGI
1045,PROCACCINI GIULIO CESARE
1046,RIPAMONTI GIUSEPPE
1047,RIPAMONTI GIUSEPPE
1048,RIPAMONTI GIUSEPPE
1051,SAN GREGORIO
1050,SAN GREGORIO
1049,SANFELICE LUISA
1052,SANTA RITA DA CASCIA
1053,SIRTORI GIUSEPPE
1054,SISMONDI GIANCARLO
1055,SISMONDI GIANCARLO
1056,TADINO ALESSANDRO
1058,TAJANI FILIPPO
1059,TAJANI FILIPPO
1057,TAJANI FILIPPO
1060,TARTINI GIUSEPPE
1061,TENCA CARLO
1062,TEODOSIO
1063,TITO LIVIO
1064,TORRIANI NAPO
1065,TORRIANI NAPO
1066,TORRICELLI EVANGELISTA
1067,TRAIANO MARCO ULPIO
1068,UCCELLO PAOLO
1069,VALENZA
1070,VARANINI LUIGI
1071,VENINI GIULIO E CORRADO
1072,VENINI GIULIO E CORRADO
1073,ZANELLA GIACOMO
1074,ZURETTI GIANFRANCO
1075,ABRUZZI
1076,ARETUSA
1077,BEZZI ERGISTO
1078,CAMPANIA
1079,CERTOSA
1080,CRISPI FRANCESCO
1081,D'ANNUNZIO GABRIELE
1082,GRAN SASSO
1083,LUCANIA
1084,MONZA
1085,PISA
1086,RODI
1087,SUZZANI GIOVANNI
1088,UMBRIA
1089,MANTOVA
1106,OBERDAN GUGLIELMO
1107,VAL TROMPIA
1108,VOLVINIO
1109,CORSICA
1110,PAPINIANO
1111,DEL TRICOLORE
1112,ANFOSSI AUGUSTO
1113,ASTICO
1114,BONVESIN DE LA RIVA
1115,
1116,CADORE
1117,CAPECELATRO ALFONSO
1118,DEGLI OROMBELLI
1119,DEI CINQUECENTO
1120,DEL TURCHINO
1121,MELLONI MACEDONIO
1122,MORA GIAN GIACOMO
1123,PADOVA
1124,PALMANOVA
1125,PISACANE CARLO
1126,PORDENONE
1127,SOTTOCORNO PASQUALE
1128,VISCONTI DI MODRONE UBERTO
1129,BRENTA
1130,SABOTINO
1131,CAMPANIA
1132,EUSTACHI BARTOLOMEO
1133,GARIBALDI GIUSEPPE
1134,BOIARDO MATTEO MARIA
1135,DERNA
1136,GRIGNA
1137,
1138,MONZA
1139,GALLURA
1140,ROMAGNA
1141,COMO
1142,CONCORDIA
