Ubicazione
VIA CESARE DA SESTO N. 8 ; (z.d. 1)
VIA CESARI ANTONIO N. 43 ; (z.d. 9)
VIA CESARIANO CESARE N. 11 piano primo; (z.d. 1)
VIA CESARIANO CESARE N. 8 (z.d. 1)
VIA CESARIANO CESARE N. 9 ; (z.d. 1)
VIA CHAVEZ GIORGIO N. 1 ; (z.d. 2)
VIA CHIANCIANO N. 6 ; (z.d. 9)
VIA CHIANCIANO num.0102; (z.d. 9)
VIA CHIARELLI LUIGI N. 10 interno m.c.c.; (z.d. 8)
VIA CHIESE N. 60 ; (z.d. 9)
VIA CHINOTTO EDOARDO N. 32 ; (z.d. 7)
VIA CHIOGGIA N. 1 ; (z.d. 2)
VIA CHOPIN FEDERICO N. 50 ; (z.d. 5)
VIA CIAIA IGNAZIO N. 2 ; (z.d. 9)
VIA CIAIA IGNAZIO N. 4 ; (z.d. 9)
VIA CIARDI GUGLIELMO N. 25 ; (z.d. 7)
VIA CIARDI GUGLIELMO N. 25 con ingresso via civitali; (z.d. 7)
VIA CICERI VISCONTI LAURA N. 14 ; (z.d. 4)
VIA CICERI VISCONTI LAURA N. 2 ; (z.d. 4)
VIA CICERONE  MARCO TULLIO num.014; (z.d. 9)
VIA CICOGNA MOZZONI CARLO N. 23 ; (z.d. 9)
VIA CILEA FRANCESCO N. 158 ; (z.d. 8)
VIA CILEA FRANCESCO num.0102; (z.d. 8)
VIA CIMABUE GIOVANNI N. 19 ; (z.d. 8)
VIA CIMAROSA DOMENICO N. 5 ; (z.d. 7)
VIA CIMAROSA DOMENICO num.003a; (z.d. 6)
VIA CINO DA PISTOIA N. 18 ; (z.d. 9)
VIA CINO DA PISTOIA N. 9 ; (z.d. 9)
VIA CINQUE MAGGIO N. 11 ; (z.d. 8)
VIA CINQUE MAGGIO N. 9 ; (z.d. 8)
VIA CIRCO N. 1 interno palestra; (z.d. 1)
VIA CIVITALI MATTEO N. 13 (z.d. 7)
VIA CIVITALI MATTEO N. 25 (z.d. 7)
VIA CIVITALI MATTEO N. 25 ; (z.d. 7)
VIA CIVITALI MATTEO N. 40 ; (z.d. 7)
VIA CIVITALI MATTEO N. 42 ; (z.d. 7)
VIA CIVITALI MATTEO N. 7 (z.d. 7)
VIA CODARA GIUSEPPE N. 1 con ingr. v.le gorizia; (z.d. 6)
VIA COL MOSCHIN N. 1 (z.d. 5)
VIA COL MOSCHIN N. 1 ; (z.d. 5)
VIA COLA DI RIENZO N. 12 al piano rialzato; (z.d. 6)
VIA COLA DI RIENZO N. 2 ; (z.d. 6)
VIA COLA DI RIENZO N. 28 ; (z.d. 6)
VIA COLA DI RIENZO N. 44 (z.d. 6)
VIA COLA DI RIENZO N. 44 con ingresso via trezzo d'adda; (z.d. 6)
VIA COLA DI RIENZO N. 53 ; (z.d. 6)
VIA COLA MONTANO N. 40 ; (z.d. 9)
VIA COLAUTTI ARTURO N. 1 ; (z.d. 2)
VIA COLLECCHIO N. 2 ; (z.d. 8)
VIA COLLETTA PIETRO N. 9 (z.d. 4)
VIA COLONNA MARCO ANTONIO N. 10 ; (z.d. 8)
VIA COLONNA MARCO ANTONIO N. 14 ; (z.d. 8)
VIA COLONNA VITTORIA N. 13 ; (z.d. 7)
VIA COLONNA VITTORIA N. 43 ; (z.d. 7)
VIA COLONNA VITTORIA N. 51 ; (z.d. 7)
VIA COLONNA VITTORIA N. 8 ; (z.d. 7)
VIA COLUMELLA LUCIO GIUNIO N. 40 piano t. e seminterrato; (z.d. 2)
VIA COMPAGNONI GIUSEPPE N. 24 ; (z.d. 4)
VIA COMPAGNONI GIUSEPPE N. 33 ; (z.d. 4)
VIA CONCA DEL NAVIGLIO N. 5 ; (z.d. 1)
VIA CONCHETTA N. 19 ; (z.d. 5)
VIA CONCHETTA N. 4 ; (z.d. 5)
VIA CONCILIO VATICANO II N. 1 ; (z.d. 8)
VIA CONCILIO VATICANO II N. 3 ; (z.d. 8)
VIA CONSOLE MARCELLO N. 10 (z.d. 8)
VIA CONSOLE MARCELLO N. 10 ; (z.d. 8)
VIA CONSOLE MARCELLO N. 14 ; (z.d. 8)
VIA CONSOLE MARCELLO num.0181; (z.d. 8)
VIA CONTE ROSSO N. 10 ; (z.d. 3)
VIA CONTE ROSSO N. 22 ; (z.d. 3)
VIA CONTE VERDE N. 1 con ingresso via c. imbonati; (z.d. 9)
VIA COPERNICO NICOLO' N. 61 (z.d. 2)
VIA COPERNICO NICOLO' N. 61 ; (z.d. 2)
VIA COPERNICO NICOLO' num.030a; (z.d. 2)
VIA CORREGGIO N. 57 ; (z.d. 7)
VIA CORREGGIO N. 63 ; (z.d. 7)
VIA CORREGGIO N. 69 ; (z.d. 7)
VIA CORREGGIO N. 8 (z.d. 7)
VIA CORRENTI CESARE N. 19 ; (z.d. 1)
VIA CORRENTI CESARE N. 22 ; (z.d. 1)
VIA CORRENTI CESARE N. 26 ; (z.d. 1)
VIA CORRIDONI FILIPPO N. 6 ; (z.d. 1)
VIA COSSA PIETRO N. 5 ; (z.d. 1)
VIA COSSERIA N. 1 ; (z.d. 5)
VIA COSTA ANDREA N. 2 piano terra ed interrato; (z.d. 3)
VIA COSTA ANDREA N. 3 ; (z.d. 2)
VIA COSTA ANDREA N. 4 ; (z.d. 3)
VIA COSTA ANDREA N. 7 ; (z.d. 2)
VIA COSTANZA N. 3 ; (z.d. 7)
VIA COTTOLENGO SAN GIUSEPPE N. 12 ; (z.d. 6)
VIA CREMA N. 21 ; (z.d. 5)
VIA CREMA N. 23 ; (z.d. 5)
VIA CREMA N. 25 ; (z.d. 5)
VIA CREMA N. 29 ; (z.d. 5)
VIA CREMA N. 4 (z.d. 5)
VIA CREMA N. 4 ; (z.d. 5)
VIA CREMA N. 6 ; (z.d. 5)
VIA CRESCENZAGO N. 13 ; (z.d. 3)
VIA CRESCENZAGO N. 28 ; (z.d. 3)
"VIA CRESCENZAGO N. 34 via crescenzago, 34 (z.d. 3)"
VIA CRESCENZAGO N. 36 ; (z.d. 3)
VIA CRESPI PIETRO N. 13 (z.d. 2)
VIA CRESPI PIETRO N. 13 ; (z.d. 2)
VIA CRESPI PIETRO N. 17 ; (z.d. 2)
VIA CROCEFISSO N. 5 (z.d. 1)
VIA CROCEFISSO N. 6 piano seminterrato; (z.d. 1)
VIA CUCCHIARI DOMENICO N. 15 interno; (z.d. 8)
VIA CUCCHIARI DOMENICO N. 25 (z.d. 8)
VIA CUCCHIARI DOMENICO N. 4 ; (z.d. 8)
VIA CUCCHIARI DOMENICO N. 7 ; (z.d. 8)
VIA CUNEO N. 3 1^piano; (z.d. 7)
VIA CURTATONE N. 6 ; (z.d. 1)
VIA CUSAGO N. 5 ; (z.d. 7)
VIA CUSANI N. 10 ; (z.d. 1)
VIA CUSANI N. 10 piano primo; (z.d. 1)
VIA CUSANI N. 7 (z.d. 1)
VIA CUSTODI PIETRO N. 10 (z.d. 5)
VIA CUZZI GIUSEPPE N. 16 ; (z.d. 8)
VIA D'ADDA CARLO N. 1 ; (z.d. 6)
VIA D'ADDA CARLO N. 13 ; (z.d. 6)
VIA D'ADDA CARLO N. 2 ; (z.d. 6)
VIA D'ADDA CARLO num.001a; (z.d. 6)
VIA DAL POZZO TOSCANELLI PAOLO N. 1 ; (z.d. 2)
VIA DAL RE MARCANTONIO N. 13 ; (z.d. 8)
VIA DAL RE MARCANTONIO N. 2 ; (z.d. 8)
VIA DAL RE MARCANTONIO N. 6 (z.d. 8)
VIA DALL'ONGARO FRANCESCO N. 2 ; (z.d. 4)
VIA DANTE ALIGHIERI N. 4 ; (z.d. 1)
VIA DARWIN CARLO ROBERTO N. 17 int. residenze anni azzurri (per anziani) (z.d. 6)
VIA DAVANZATI BERNARDO N. 2 ; (z.d. 9)
VIA DE ALESSANDRI GIOVANNI N. 7 ; (z.d. 7)
VIA DE AMICIS EDMONDO N. 30 (z.d. 1)
VIA DE AMICIS EDMONDO N. 36 ; (z.d. 1)
VIA DE AMICIS EDMONDO N. 39 ; (z.d. 1)
VIA DE AMICIS EDMONDO N. 47 (z.d. 1)
VIA DE AMICIS EDMONDO N. 61 ; (z.d. 1)
VIA DE AMICIS EDMONDO N. 7 ; (z.d. 1)
VIA DE CRISTOFORIS CARLO N. 15 (z.d. 9)
VIA DE CRISTOFORIS CARLO N. 2 ; (z.d. 9)
VIA DE CRISTOFORIS CARLO N. 5 ; (z.d. 9)
VIA DE FILIPPI FILIPPO N. 4 con ingr. in via broggi; (z.d. 3)
VIA DE MARCHI EMILIO N. 3 ; (z.d. 2)
VIA DE MARCHI EMILIO N. 46 ; (z.d. 2)
VIA DE MARTINO EMILIO N. 1 ; (z.d. 9)
VIA DE PRETIS AGOSTINO N. 5 (z.d. 6)
VIA DE PRETIS AGOSTINO N. 7 ; (z.d. 6)
VIA DE ROSSI GIOVANNI BATTISTA N. 1 ; (z.d. 8)
VIA DE RUGGIERO GUIDO N. 4 ; (z.d. 5)
VIA DE RUGGIERO GUIDO N. 8 ; (z.d. 5)
VIA DE SANCTIS FRANCESCO N. 17 ; (z.d. 5)
VIA DE SANCTIS FRANCESCO N. 45 (z.d. 5)
VIA DE SANCTIS FRANCESCO N. 50 ; (z.d. 5)
VIA DEGLI ARCIMBOLDI num.004; (z.d. 1)
VIA DEGLI ETRUSCHI N. 5 ; (z.d. 4)
VIA DEGLI IMBRIANI N. 25 al piano rialzato; (z.d. 9)
VIA DEGLI IMBRIANI N. 27 ; (z.d. 9)
VIA DEGLI IMBRIANI N. 31 ; (z.d. 9)
VIA DEGLI IMBRIANI N. 35 ; (z.d. 9)
VIA DEGLI IMBRIANI N. 40 ; (z.d. 9)
VIA DEGLI IMBRIANI N. 5 riservato ai soci; (z.d. 9)
VIA DEGLI IMBRIANI num.055a; (z.d. 9)
VIA DEGLI OMENONI N. 2 ; (z.d. 1)
VIA DEGLI OMENONI N. 2 seminterrato; (z.d. 1)
VIA DEGLI OROMBELLI N. 15 ; (z.d. 3)
VIA DEGLI OROMBELLI N. 18 ; (z.d. 3)
VIA DEGLI UMILIATI N. 9 ; (z.d. 4)
VIA DEGLI ZUCCARO N. 2 ; (z.d. 6)
VIA DEI BENEDETTINI N. 14 ; (z.d. 6)
VIA DEI BIANCOSPINI N. 12 (z.d. 6)
VIA DEI BIANCOSPINI N. 12 ; (z.d. 6)
VIA DEI BIANCOSPINI N. 3 ; (z.d. 6)
VIA DEI CARAFA N. 14 ; (z.d. 9)
VIA DEI CINQUECENTO N. 19 interno casa di riposo; (z.d. 4)
VIA DEI CINQUECENTO N. 27 ; (z.d. 4)
VIA DEI CINQUECENTO N. 3 ; (z.d. 4)
VIA DEI CONTARINI N. 7 ; (z.d. 3)
VIA DEI FIORDALISI N. 4 ; (z.d. 6)
VIA DEI FONTANILI N. 55 ; (z.d. 5)
VIA DEI GRIMANI N. 1 ; (z.d. 6)
VIA DEI GRIMANI N. 11 (z.d. 6)
VIA DEI MARTINITT N. 3 ; (z.d. 7)
VIA DEI PANIGAROLA N. 2 ; (z.d. 4)
VIA DEI TRANSITI N. 1 ; (z.d. 2)
VIA DEI TRANSITI N. 27 ; (z.d. 2)
VIA DEI TULIPANI N. 16 ; (z.d. 6)
VIA DEI TULIPANI N. 2 ; (z.d. 6)
VIA DEI TULIPANI N. 3 ; (z.d. 6)
VIA DEI VALTORTA N. 22 (z.d. 2)
VIA DEL BOLLO N. 3 ; (z.d. 1)
VIA DEL BOLLO num.002c; (z.d. 1)
VIA DEL DON N. 2 ; (z.d. 1)
VIA DEL DON N. 3 ; (z.d. 1)
VIA DEL DON N. 5 (z.d. 1)
VIA DEL FANTE COSIMO N. 6 ; (z.d. 1)
VIA DEL FUSARO N. 2 ; (z.d. 7)
VIA DEL LIRI N. 3 ; (z.d. 4)
VIA DEL MAINO GIASONE N. 31 ; (z.d. 7)
VIA DEL MELLA N. 5 ; (z.d. 7)
VIA DEL PASSERO N. 3 ; (z.d. 6)
VIA DEL RICORDO N. 1 (z.d. 2)
VIA DEL RICORDO N. 57 (z.d. 2)
VIA DEL RICORDO N. 57 ; (z.d. 2)
VIA DEL TORCHIO N. 3 ; (z.d. 1)
VIA DEL TORCHIO N. 4 ; (z.d. 1)
VIA DEL TORCHIO N. 7 ; (z.d. 1)
VIA DEL TORCHIO N. 8 ; (z.d. 1)
VIA DEL TORCHIO num.0068; (z.d. 1)
VIA DEL TURCHINO N. 10 ; (z.d. 4)
VIA DEL TURCHINO N. 13 (z.d. 4)
VIA DEL TURCHINO N. 15 ; (z.d. 4)
VIA DEL TURCHINO N. 17 ; (z.d. 4)
VIA DEL TURCHINO N. 4 ; (z.d. 4)
VIA DEL VECCHIO POLITECNICO N. 4 2^p.interrato; (z.d. 1)
VIA DEL VECCHIO POLITECNICO N. 4 int.palestra down town; (z.d. 1)
VIA DELL' ALLODOLA N. 16 ; (z.d. 6)
VIA DELL' ASSUNTA N. 3 ; (z.d. 5)
VIA DELL' UNIONE N. 1 riservata ai soli soci; (z.d. 1)
VIA DELL' UNIONE N. 4 ; (z.d. 1)
VIA DELLA CAPINERA N. 5 ; (z.d. 6)
VIA DELLA CHIESA ROSSA N. 33 (z.d. 5)
VIA DELLA COMMENDA N. 28 ; (z.d. 1)
VIA DELLA COMMENDA N. 33 (z.d. 1)
VIA DELLA COMMENDA N. 33 ; (z.d. 1)
VIA DELLA COMMENDA N. 41 interno; (z.d. 1)
VIA DELLA FERRERA N. 18 num.018; (z.d. 6)
VIA DELLA MOSCOVA N. 10 ; (z.d. 1)
VIA DELLA MOSCOVA N. 19 ; (z.d. 1)
VIA DELLA MOSCOVA N. 24 ; (z.d. 1)
VIA DELLA MOSCOVA N. 29 ; (z.d. 1)
VIA DELLA MOSCOVA N. 48 (z.d. 1)
VIA DELLA MOSCOVA N. 66 ; (z.d. 1)
VIA DELLA MOSCOVA N. 9 ; (z.d. 1)
VIA DELLA MOSCOVA num.044; (z.d. 1)
VIA DELLA PALLA N. 5 ; (z.d. 1)
VIA DELLA SILA N. 4 ; (z.d. 3)
VIA DELLA SPIGA N. 2 ; (z.d. 1)
VIA DELLA SPIGA N. 23 ; (z.d. 1)
VIA DELLA TORRE N. 1 ; (z.d. 2)
VIA DELLA TORRE N. 34 (z.d. 2)
VIA DELLA TORRE N. 9 ; (z.d. 2)
VIA DELLE ANDE N. 5 ; (z.d. 8)
VIA DELLE ANDE num.015a; (z.d. 8)
VIA DELLE ASOLE N. 2 4^ piano; (z.d. 1)
VIA DELLE BETULLE N. 34 ; (z.d. 7)
VIA DELLE BETULLE N. 8 ; (z.d. 7)
VIA DELLE BETULLE num.006a; (z.d. 7)
VIA DELLE BETULLE num.008b; (z.d. 7)
VIA DELLE ERBE N. 1 ; (z.d. 1)
VIA DELLE FORZE ARMATE N. 105 (z.d. 7)
VIA DELLE FORZE ARMATE N. 105 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 165 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 196 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 197 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 232 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 234 (z.d. 7)
VIA DELLE FORZE ARMATE N. 234 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 246 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 260 (z.d. 7)
VIA DELLE FORZE ARMATE N. 3 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 326 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 328 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 333 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 376 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 395 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 407 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 41 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 410 ang. via ceriani n. 6; (z.d. 7)
VIA DELLE FORZE ARMATE N. 43 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 7 ; (z.d. 7)
VIA DELLE FORZE ARMATE N. 73 ; (z.d. 7)
VIA DELLE FORZE ARMATE num.393a; (z.d. 7)
VIA DELLE PRIMULE N. 1 ; (z.d. 6)
VIA DELLE STELLINE N. 1 ; (z.d. 7)
VIA DERNA N. 1 ; (z.d. 2)
VIA DERNA N. 13 ; (z.d. 2)
VIA DERNA N. 9 ; (z.d. 2)
VIA DESIDERIO DA SETTIGNANO N. 3 ; (z.d. 8)
VIA DESIDERIO N. 28 ; (z.d. 3)
VIA DEZZA GIUSEPPE N. 24 ; (z.d. 7)
VIA DIOTTI BENEDETTO N. 59 ; (z.d. 7)
VIA DISCIPLINI N. 12 ; (z.d. 1)
VIA DOGANA N. 3 (z.d. 1)
VIA DOGANA N. 3 ; (z.d. 1)
VIA DOLCI CARLO N. 16 ; (z.d. 7)
VIA DOLCI CARLO N. 38 ; (z.d. 7)
VIA DOLOMITI N. 11 ; (z.d. 2)
VIA DOMENICHINO N. 2 ; (z.d. 7)
VIA DOMENICHINO N. 3 ; (z.d. 7)
VIA DOMOKOS N. 4 ; (z.d. 7)
VIA DON BOSCO N. 16 ; (z.d. 4)
VIA DON BOSCO N. 19 (z.d. 4)
VIA DON BOSCO N. 27 (z.d. 4)
VIA DON BOSCO N. 27 ; (z.d. 4)
VIA DON RODRIGO N. 2 ; (z.d. 5)
VIA DONATELLO N. 2 ; (z.d. 3)
VIA DONATELLO N. 22 ; (z.d. 3)
VIA DONATELLO N. 27 ; (z.d. 3)
VIA DONATELLO N. 32 ; (z.d. 3)
VIA DONATELLO N. 37 ; (z.d. 3)
VIA DONIZETTI GAETANO N. 2 ; (z.d. 1)
VIA DONIZETTI GAETANO num.001a; (z.d. 1)
VIA DRAGO MARIA N. 1 (z.d. 8)
VIA DUE GIUGNO num.006; (z.d. 7)
VIA DUGNANI ANTONIO N. 1 ; (z.d. 1)
VIA DURAZZO N. 5 ; (z.d. 3)
VIA DURER ALBERTO N. 4 primo piano; (z.d. 7)
VIA DURINI N. 2 ; (z.d. 1)
VIA EDOLO N. 27 ; (z.d. 2)
VIA EDOLO N. 28 (z.d. 2)
VIA EDOLO N. 3 ; (z.d. 2)
VIA EDOLO N. 42 (z.d. 2)
VIA EDOLO N. 42 ; (z.d. 2)
VIA EDOLO N. 44 ; (z.d. 2)
VIA EDOLO num.002; (z.d. 2)
VIA EGADI N. 12 seminterrato; (z.d. 7)
VIA ELBA N. 8 ; (z.d. 7)
VIA EMANUELE FILIBERTO N. 13 ; (z.d. 8)
VIA EMANUELE FILIBERTO N. 4 ; (z.d. 8)
VIA EMO ANGELO N. 19 (z.d. 2)
VIA EMO ANGELO N. 2 ; (z.d. 2)
VIA ESTERLE CARLO N. 29 ; (z.d. 2)
VIA EUSTACHI BARTOLOMEO N. 20 ; (z.d. 3)
VIA EUSTACHI BARTOLOMEO N. 21 ; (z.d. 3)
VIA EUSTACHI BARTOLOMEO N. 24 ; (z.d. 3)
VIA EUSTACHI BARTOLOMEO N. 32 ; (z.d. 3)
VIA EUSTACHI BARTOLOMEO N. 38 ; (z.d. 3)
VIA EUSTACHI BARTOLOMEO N. 8 ; (z.d. 3)
VIA F.LLI ANTONA TRAVERSI N. 20 ; (z.d. 8)
VIA F.LLI ANTONA TRAVERSI N. 20 con ingr. in via de roberto; (z.d. 8)
VIA F.LLI ANTONA TRAVERSI N. 23 ; (z.d. 8)
VIA F.LLI BEOLCHI N. 15 ; (z.d. 8)
VIA F.LLI BRONZETTI N. 14 ; (z.d. 4)
VIA F.LLI BRONZETTI N. 16 ; (z.d. 4)
VIA F.LLI BRONZETTI N. 25 int. 1ø piano; (z.d. 4)
VIA F.LLI BRONZETTI N. 26 ; (z.d. 4)
VIA F.LLI BRONZETTI N. 8 ; (z.d. 4)
VIA F.LLI CAMPI N. 2 ; (z.d. 1)
VIA F.LLI FRASCHINI N. 2 ; (z.d. 5)
VIA F.LLI GABBA interno albergo num.007b; (z.d. 1)
VIA F.LLI INDUNO N. 17 ; (z.d. 8)
VIA F.LLI INDUNO N. 28 ; (z.d. 8)
VIA F.LLI LUMIERE N. 2 ; (z.d. 2)
VIA F.LLI RUFFINI N. 11 ; (z.d. 1)
VIA F.LLI RUFFINI N. 9 ; (z.d. 1)
VIA F.LLI ZANZOTTERA N. 8 ; (z.d. 7)
VIA F.LLI ZOIA N. 220 ; (z.d. 7)
VIA F.LLI ZOIA N. 43 ingr.al pubblico via marx; (z.d. 7)
VIA FAA' DI BRUNO EMILIO N. 10 (z.d. 4)
VIA FAA' DI BRUNO EMILIO N. 14 ; (z.d. 4)
VIA FAA' DI BRUNO EMILIO N. 2 ; (z.d. 4)
VIA FAA' DI BRUNO EMILIO N. 5 ; (z.d. 4)
VIA FABRIANO N. 2 ; (z.d. 9)
VIA FACCHINETTI CIPRIANO N. 2 ; (z.d. 4)
VIA FACCIOLI CESARE N. 2 ; (z.d. 7)
VIA FALCK ENRICO num.033c; (z.d. 8)
VIA FALCONE N. 5 ; (z.d. 1)
VIA FALCONE N. 7 ; (z.d. 1)
VIA FANFULLA DA LODI N. 2 (z.d. 2)
VIA FARA GUSTAVO N. 14 ; (z.d. 2)
VIA FARA GUSTAVO N. 30 ; (z.d. 2)
VIA FARA GUSTAVO N. 31 ; (z.d. 9)
VIA FARA GUSTAVO N. 5 ; (z.d. 9)
VIA FARA GUSTAVO N. 9 ; (z.d. 9)
VIA FARINI CARLO N. 35 ; (z.d. 9)
VIA FARINI CARLO N. 39 ; (z.d. 9)
VIA FARINI CARLO N. 40 (z.d. 9)
VIA FARINI CARLO N. 42 (z.d. 9)
VIA FARINI CARLO N. 44 ; (z.d. 9)
VIA FARINI CARLO N. 55 ; (z.d. 9)
VIA FARINI CARLO N. 55 via carlo farini  55 (z.d. 9)
VIA FARINI CARLO N. 6 ; (z.d. 9)
VIA FARINI CARLO N. 61 ; (z.d. 9)
VIA FARINI CARLO N. 68 (z.d. 9)
VIA FARINI CARLO N. 70 ; (z.d. 9)
VIA FARINI CARLO N. 70 interno; (z.d. 9)
VIA FARINI CARLO N. 8 ; (z.d. 9)
VIA FARINI CARLO N. 80 ; (z.d. 9)
VIA FARINI CARLO N. 93 ; (z.d. 9)
VIA FARNETI RODOLFO N. 3 ; (z.d. 3)
VIA FARUFFINI FEDERICO N. 11 (z.d. 7)
VIA FARUFFINI FEDERICO N. 11 ; (z.d. 7)
VIA FARUFFINI FEDERICO N. 15 ; (z.d. 7)
VIA FARUFFINI FEDERICO N. 7 ; (z.d. 7)
VIA FATEBENEFRATELLI N. 15 ; (z.d. 1)
VIA FATEBENEFRATELLI N. 30 (z.d. 1)
VIA FAUCHE' GIOVANNI BATTISTA N. 1 piano rialzato; (z.d. 8)
VIA FAUCHE' GIOVANNI BATTISTA N. 24 ; (z.d. 8)
VIA FAUCHE' GIOVANNI BATTISTA N. 37 (z.d. 8)
VIA FAUCHE' GIOVANNI BATTISTA N. 38 ; (z.d. 8)
VIA FAUCHE' GIOVANNI BATTISTA N. 40 ; (z.d. 8)
VIA FAUCHE' GIOVANNI BATTISTA N. 8 ; (z.d. 8)
VIA FAUCHE' GIOVANNI BATTISTA N. 9 ; (z.d. 8)
VIA FELTRE N. 1 ; (z.d. 3)
VIA FELTRE N. 27 (z.d. 3)
VIA FELTRE N. 27 ; (z.d. 3)
VIA FERABOLI ACHILLE N. 33 ; (z.d. 5)
VIA FERABOLI ACHILLE N. 35 ; (z.d. 5)
VIA FERMIGNANO num.003; (z.d. 9)
VIA FERRARI GAUDENZIO N. 12 (z.d. 1)
VIA FERRIERI ENZO N. 12 ; (z.d. 7)
VIA FERRIERI ENZO N. 12 ferrieri n.6; (z.d. 7)
VIA FERRIERI ENZO N. 16 ; (z.d. 7)
VIA FERRUCCI FRANCESCO N. 11 ingr. via ippolito nievo; (z.d. 8)
VIA FERRUCCI FRANCESCO N. 22 ; (z.d. 8)
VIA FEZZAN N. 2 ; (z.d. 6)
VIA FEZZAN N. 9 ; (z.d. 6)
VIA FIAMMA GALVANO N. 36 ; (z.d. 4)
VIA FIAMMA GALVANO N. 6 ; (z.d. 4)
VIA FIAMMA GALVANO num.0151; (z.d. 4)
VIA FILIPPINO DEGLI ORGANI N. 9 ; (z.d. 4)
VIA FILZI FABIO N. 14 i piano; (z.d. 2)
VIA FILZI FABIO N. 15 (z.d. 2)
VIA FILZI FABIO N. 23 ; (z.d. 2)
VIA FILZI FABIO N. 27 ; (z.d. 2)
VIA FILZI FABIO N. 33 ; (z.d. 2)
VIA FILZI FABIO N. 4 ; (z.d. 2)
VIA FILZI FABIO N. 41 ; (z.d. 2)
VIA FILZI FABIO N. 42 int.cas.g.f.; (z.d. 2)
VIA FILZI FABIO N. 45 ; (z.d. 2)
VIA FILZI FABIO N. 8 (z.d. 2)
VIA FILZI FABIO N. 9 ; (z.d. 2)
VIA FIUGGI N. 44 (z.d. 9)
VIA FIUGGI N. 56 ; (z.d. 9)
VIA FIUGGI num.0101; (z.d. 9)
VIA FIUGGI num.0121; (z.d. 9)
VIA FOGAZZARO ANTONIO N. 14 ; (z.d. 4)
VIA FONSECA PIMENTEL ELEONORA N. 18 ; (z.d. 2)
VIA FONTANA N. 18 ; (z.d. 1)
VIA FONTANA N. 5 ; (z.d. 1)
VIA FONTANELLI ACHILLE N. 10 ; (z.d. 9)
VIA FOPPA VINCENZO N. 25 ; (z.d. 6)
VIA FOPPA VINCENZO N. 40 ; (z.d. 7)
VIA FOPPA VINCENZO N. 41 ; (z.d. 6)
VIA FOPPA VINCENZO N. 52 ; (z.d. 6)
VIA FOPPA VINCENZO N. 55 ; (z.d. 6)
VIA FOPPA VINCENZO N. 58 piano rialzato; (z.d. 6)
VIA FOPPA VINCENZO N. 9 ; (z.d. 6)
VIA FORNARI PASQUALE N. 4 ; (z.d. 7)
VIA FORNARI PASQUALE N. 44 ; (z.d. 7)
VIA FORNI GEROLAMO N. 72 ; (z.d. 9)
VIA FRA' CRISTOFORO N. 12 ; (z.d. 5)
VIA FRACASTORO GIROLAMO N. 1 ; (z.d. 2)
VIA FRANCHETTI RAIMONDO N. 2 (z.d. 2)
VIA FRAPOLLI LUIGI N. 31 ; (z.d. 4)
VIA FRAPOLLI LUIGI N. 31 p. rialzato; (z.d. 4)
VIA FREIKOFEL N. 10 ; (z.d. 4)
VIA FRESCOBALDI GEROLAMO N. 23 (z.d. 3)
VIA FRISI PAOLO N. 10 ; (z.d. 3)
VIA FRIULI N. 1 ; (z.d. 4)
VIA FRIULI N. 15 ; (z.d. 4)
VIA FRIULI N. 50 ; (z.d. 4)
VIA FRIULI N. 51 ; (z.d. 4)
VIA FRIULI N. 6 ; (z.d. 4)
VIA FRIULI N. 61 (z.d. 4)
VIA FRIULI N. 75 ; (z.d. 4)
VIA FRIULI N. 77 ; (z.d. 4)
VIA FRUGONI CARLO INNOCENZO N. 23 ; (z.d. 9)
VIA GAFFURIO FRANCHINO N. 5 (z.d. 3)
VIA GAFFURIO FRANCHINO N. 8 ; (z.d. 3)
VIA GAIO N. 10 ; (z.d. 3)
VIA GALENO CLAUDIO N. 6 ; (z.d. 2)
VIA GALILEI GALILEO N. 6 piano 4; (z.d. 2)
VIA GALLARATE N. 101 ; (z.d. 8)
VIA GALLARATE N. 105 3^piano int.appartam.; (z.d. 8)
VIA GALLARATE N. 131 ; (z.d. 8)
VIA GALLARATE N. 42 (z.d. 8)
VIA GALLARATE N. 80 ; (z.d. 8)
VIA GALLI DINA N. 8 ; (z.d. 9)
VIA GALLINA GIACINTO N. 1 (z.d. 3)
VIA GALLINA GIACINTO N. 1 ; (z.d. 3)
VIA GALLURA N. 1 ; (z.d. 5)
VIA GALLURA N. 15 ; (z.d. 5)
