Ubicazione
CSO VENTIDUE MARZO N. 5 ; (z.d. 4)
CSO VENTIDUE MARZO N. 8 1 piano; (z.d. 4)
CSO VENTIDUE MARZO N. 8 ; (z.d. 4)
CSO VERCELLI N. 20 (z.d. 7)
CSO VERCELLI N. 29 (z.d. 7)
CSO VERCELLI N. 35 ; (z.d. 7)
CSO VERCELLI N. 37 con ingresso via p.giovio; (z.d. 7)
CSO VERCELLI N. 38 1^piano; (z.d. 7)
CSO VERCELLI N. 52 ; (z.d. 7)
CSO VERCELLI N. 7 ; (z.d. 7)
CSO VERCELLI N. 8 int. profumeria 1ø piano; (z.d. 7)
CSO VITTORIO EMANUELE II N. 15 1ø piano; (z.d. 1)
CSO VITTORIO EMANUELE II N. 15 primo piano; (z.d. 1)
CSO VITTORIO EMANUELE II N. 24 2øinterrato; (z.d. 1)
CSO VITTORIO EMANUELE II N. 30 primo piano; (z.d. 1)
CSO VITTORIO EMANUELE II N. 9 ; (z.d. 1)
FOR BUONAPARTE N. 55 ; (z.d. 1)
FOR BUONAPARTE N. 63 ; (z.d. 1)
FOR BUONAPARTE N. 71 ; (z.d. 1)
FOR BUONAPARTE N. 71 ang.l.go cairoli e via beltram; (z.d. 1)
FOR BUONAPARTE N. 74 ; (z.d. 1)
GLL BUENOS AIRES N. 6 ; (z.d. 3)
GLL BUENOS AIRES N. 7 1^ piano; (z.d. 3)
GLL PASSARELLA N. 1 ; (z.d. 1)
GLL PASSARELLA N. 2 ; (z.d. 1)
GLL SAN BABILA piano ammezzato num.004c; (z.d. 1)
GLL UNIONE N. 1 ; (z.d. 1)
GLL UNIONE N. 1 ingr. da via unione 16; (z.d. 1)
GLL UNIONE N. 3 (z.d. 1)
GLL UNIONE N. 4 ; (z.d. 1)
GLL UNIONE N. 5 (z.d. 1)
LGO BRASILIA N. 6 ; (z.d. 6)
LGO CORSIA DEI SERVI N. 11 secondo piano; (z.d. 1)
LGO DEI GELSOMINI N. 10 (z.d. 6)
LGO DEI GELSOMINI N. 14 ; (z.d. 6)
LGO DEI GELSOMINI N. 6 ; (z.d. 6)
LGO DELLA CROCETTA N. 2 ; (z.d. 1)
LGO DOMODOSSOLA N. 7 ; (z.d. 8)
LGO F.LLI CERVI N. 1 ; (z.d. 2)
LGO GIAMBELLINO N. 120 ; (z.d. 6)
LGO MURANI ORESTE N. 2 ingr. via caruso; (z.d. 3)
LGO PROMESSI SPOSI N. 7 ; (z.d. 5)
LGO RICHINI FRANCESCO N. 2A (z.d. 1)
LGO RICHINI FRANCESCO N. 4 ; (z.d. 1)
LGO SCALABRINI GIOVANNI BATTISTA N. 5 ; (z.d. 6)
LGO SCALABRINI GIOVANNI BATTISTA N. 6 ; (z.d. 6)
LGO SCHUSTER ILDEFONSO N. 1 con ingresso  via santa tecla; (z.d. 1)
LGO SETTIMIO SEVERO N. 4 primo piano; (z.d. 7)
LGO SETTIMIO SEVERO N. 6 ; (z.d. 7)
LGO TEL AVIV N. 5 ; (z.d. 2)
LGO TOSCANINI ARTURO N. 1 (z.d. 1)
LGO TOSCANINI ARTURO N. 1 ; (z.d. 1)
LGO VULCI N. 5 ; (z.d. 9)
LGO VULCI N. 7 (z.d. 9)
LGO VULCI N. 7 ; (z.d. 9)
LGO ZANDONAI RICCARDO N. 3 ; (z.d. 8)
PAS DUOMO N. 2 piano primo; (z.d. 1)
PLE ARDUINO N. 9 ; (z.d. 8)
PLE BACONE FRANCESCO N. 12 come da allegata planimetria; (z.d. 3)
PLE BACONE FRANCESCO N. 6 ; (z.d. 3)
PLE BAIAMONTI ANTONIO N. 1 con ingresso in via p. sarpi; (z.d. 8)
PLE BARACCA FRANCESCO N. 10 ; (z.d. 7)
PLE BARACCA FRANCESCO N. 8 ; (z.d. 7)
PLE BIANCAMANO N. 2 ; (z.d. 1)
PLE CADORNA LUIGI N. 10 secondo piano; (z.d. 1)
PLE CADORNA LUIGI N. 14 interno ferrovie nord; (z.d. 1)
PLE CADORNA LUIGI N. 9 ; (z.d. 1)
PLE CANTORE ANTONIO N. 12 (z.d. 6)
PLE CANTORE ANTONIO N. 4 ; (z.d. 6)
PLE CHIESA DAMIANO N. 11 ; (z.d. 8)
PLE CORVETTO LUIGI EMANUELE N. 3 ; (z.d. 4)
PLE CUOCO VINCENZO N. 5 ; (z.d. 4)
PLE DATEO N. 5 ; (z.d. 3)
PLE DI PORTA LODOVICA N. 2 ; (z.d. 5)
PLE F.LLI ZAVATTARI N. 4 (z.d. 7)
PLE F.LLI ZAVATTARI N. 4 ; (z.d. 7)
PLE F.LLI ZAVATTARI N. 6 ; (z.d. 7)
PLE FERRARA N. 4 ; (z.d. 4)
PLE GAMBARA VERONICA N. 5 ; (z.d. 7)
PLE GIOVANNI DALLE BANDE NERE N. 6 ; (z.d. 7)
PLE GIULIO CESARE N. 6 ; (z.d. 8)
PLE GORINI PAOLO N. 10 ; (z.d. 3)
PLE GOVERNO PROVVISORIO DI LOMBARDIA N. 6 ; (z.d. 2)
PLE ISTRIA N. 1 ; (z.d. 9)
PLE ISTRIA N. 2 ; (z.d. 2)
PLE ISTRIA N. 2 con ngresso v.le zara n. 132; (z.d. 2)
PLE LAGOSTA N. 1 ; (z.d. 9)
PLE LAGOSTA N. 10 ; (z.d. 9)
PLE LAGOSTA N. 2 piazza lagosta 2 - mi (z.d. 9)
PLE LAVATER N. 2 ; (z.d. 3)
PLE LORETO N. 1 ; (z.d. 2)
PLE LUGANO N. 22 ; (z.d. 9)
PLE LUGANO N. 4 ; (z.d. 9)
PLE MACIACHINI CARLO N. 1 ; (z.d. 9)
PLE MACIACHINI CARLO N. 1 con ingresso v.c.farini; (z.d. 9)
PLE MACIACHINI CARLO N. 18 ; (z.d. 9)
PLE MACIACHINI CARLO N. 20 ; (z.d. 9)
PLE MARTESANA N. 4 ; (z.d. 2)
PLE MARTINI FERDINANDO N. 1 ; (z.d. 4)
PLE MARTINI FERDINANDO N. 11 ; (z.d. 4)
PLE MARTINI FERDINANDO N. 2 ; (z.d. 4)
PLE NIGRA COSTANTINO N. 6 ; (z.d. 9)
PLE PERRUCCHETTI GIUSEPPE N. 1 int.caserma s.barbara; (z.d. 7)
PLE SIENA N. 18 ; (z.d. 7)
PLE SIENA N. 4 ; (z.d. 7)
PLE SIENA N. 8 ; (z.d. 7)
PLE SIENA N. 9 ; (z.d. 7)
PLE STAZIONE DI PORTA GENOVA N. 2 ; (z.d. 6)
PLE SUSA N. 1 ; (z.d. 3)
PLE SUSA N. 15 ; (z.d. 3)
PLE SUSA N. 6 ; (z.d. 4)
PTA BOSSI MAURILIO N. 4 ; (z.d. 1)
PTA GIORDANO UMBERTO N. 4 ; (z.d. 1)
PTA PATTARI piano primo num.0013; (z.d. 1)
PZA ADIGRAT N. 3 ; (z.d. 4)
PZA AMATI CARLO N. 1 ; (z.d. 7)
PZA ANGILBERTO II N. 9 ; (z.d. 5)
PZA ARGENTINA N. 4 ; (z.d. 3)
PZA ASPARI DOMENICO N. 2 (z.d. 3)
